,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
96,saint george,37.1041,-113.5841,80.38,61,1,1.01,US,1627136073
97,jesus carranza,17.4333,-95.0333,74.98,89,62,5.66,MX,1627136073
98,airai,-8.9266,125.4092,56.68,48,9,2.98,TL,1627136073
99,atar,20.5169,-13.0499,103.53,16,50,6.8,MR,1627136073
100,tuatapere,-46.1333,167.6833,40.82,85,100,7.25,NZ,1627136074
101,dunedin,-45.8742,170.5036,45.81,81,21,10.0,NZ,1627136074
102,sayyan,15.1718,44.3244,69.8,47,69,15.21,YE,1627136074
103,khatanga,71.9667,102.5,63.09,81,100,5.97,RU,1627136075
104,evensk,61.95,159.2333,50.02,97,100,2.13,RU,1627136075
105,santo tomas,14.1079,121.1414,80.38,90,100,9.64,PH,1627136075
106,port alfred,-33.5906,26.891,61.3,58,0,20.96,ZA,1627136076
107,bhadrachalam,17.6667,80.8833,80.65,83,100,1.54,IN,1627136076
108,klaksvik,62.2266,-6.589,52.72,94,76,21.83,FO,1627136076
109,qaanaaq,77.484,-69.3632,39.49,68,58,3.89,GL,1627136076
110,hilo,19.7297,-155.09,74.62,94,90,5.75,US,1627135790
111,kahului,20.8947,-156.47,76.84,89,40,12.66,US,1627136048
112,uvinza,-5.1036,30.3911,86.95,20,10,7.05,TZ,1627136077
113,olafsvik,64.8945,-23.7142,51.6,93,99,11.65,IS,1627136077
114,codrington,-38.2667,141.9667,46.17,68,98,22.3,AU,1627136077
115,mogadishu,2.0371,45.3438,77.4,76,85,26.4,SO,1627136078
116,cayenne,4.9333,-52.3333,84.24,85,75,1.01,GF,1627136078
117,sao filipe,14.8961,-24.4956,74.1,75,67,8.63,CV,1627136078
118,orumiyeh,37.5527,45.0761,94.77,15,2,4.07,IR,1627136079
119,chuy,-33.6971,-53.4616,65.68,71,41,1.68,UY,1627136079
120,jalu,29.0331,21.5482,95.9,20,0,14.18,LY,1627136079
121,ugoofaaru,5.6667,73.0,82.94,71,100,5.53,MV,1627136080
122,gravdal,68.1214,13.5031,51.48,98,100,10.27,NO,1627136080
123,huntsville,34.7304,-86.5861,82.87,84,75,3.0,US,1627136039
124,kavieng,-2.5744,150.7967,82.35,77,4,11.14,PG,1627136080
125,bolondron,22.7633,-81.4469,84.4,70,98,3.13,CU,1627136081
126,lewistown,40.5992,-77.5714,78.58,71,1,0.0,US,1627136081
127,kaitangata,-46.2817,169.8464,40.93,56,83,4.65,NZ,1627136081
128,isangel,-19.55,169.2667,75.6,86,6,3.06,VU,1627136081
129,iqaluit,63.7506,-68.5145,49.23,59,100,15.26,CA,1627136082
130,zuwarah,32.9312,12.082,87.73,45,0,16.87,LY,1627136082
131,traverse city,44.7631,-85.6206,71.83,94,90,9.22,US,1627135970
132,mukhtolovo,55.4644,43.1953,64.58,57,37,8.5,RU,1627136082
133,linxia,35.6003,103.2064,73.29,63,44,3.49,CN,1627136083
134,juba,4.8517,31.5825,85.39,51,93,6.76,SS,1627136083
135,thompson,55.7435,-97.8558,65.41,55,71,14.43,CA,1627136041
136,carnarvon,-24.8667,113.6333,64.47,61,90,9.22,AU,1627135861
137,sambava,-14.2667,50.1667,73.9,72,4,19.53,MG,1627136084
138,kupang,-10.1667,123.5833,72.16,79,18,7.65,ID,1627136084
139,saldanha,-33.0117,17.9442,62.29,46,13,4.14,ZA,1627136084
140,puerto ayora,-0.7393,-90.3518,74.55,76,50,8.01,EC,1627136084
141,husavik,66.0449,-17.3389,63.19,61,93,18.01,IS,1627136085
142,bonavista,48.6499,-53.1147,64.11,79,40,4.36,CA,1627136085
143,aguimes,27.9054,-15.4461,77.67,65,20,31.07,ES,1627136085
144,geraldton,-28.7667,114.6,55.81,88,75,3.44,AU,1627136086
145,saint-philippe,-21.3585,55.7679,72.99,78,53,7.18,RE,1627136086
146,constitucion,-35.3333,-72.4167,52.39,83,99,11.56,CL,1627136086
147,dryden,49.7833,-92.7503,71.62,39,18,8.99,CA,1627136086
148,tautira,-17.7333,-149.15,69.82,66,0,8.43,PF,1627136087
149,nichinan,31.6,131.3667,77.76,91,100,13.42,JP,1627136087
150,ambilobe,-13.2,49.05,76.87,52,86,5.73,MG,1627136087
151,kaeo,-35.1,173.7833,52.32,94,40,9.4,NZ,1627136088
152,katsuura,35.1333,140.3,82.11,82,0,6.35,JP,1627136088
153,homer,59.6425,-151.5483,55.78,88,90,4.61,US,1627136088
154,narasimharajapura,13.6167,75.5167,70.95,94,86,7.23,IN,1627136088
155,fairbanks,64.8378,-147.7164,62.1,95,90,4.61,US,1627136089
156,aripuana,-9.1667,-60.6333,88.95,34,46,3.44,BR,1627136089
157,bougouni,11.417,-7.479,83.93,62,98,7.96,ML,1627136089
158,maine-soroa,13.2114,12.0241,90.41,43,31,14.25,NE,1627136090
159,mahebourg,-20.4081,57.7,71.26,68,54,10.11,MU,1627136090
160,feltre,46.0235,11.907,87.89,68,95,4.18,IT,1627136090
161,bundaberg,-24.85,152.35,55.22,83,0,3.44,AU,1627136091
162,victoria,22.2855,114.1577,88.32,86,79,1.01,HK,1627135823
163,new norfolk,-42.7826,147.0587,42.93,81,100,2.73,AU,1627136091
164,yeppoon,-23.1333,150.7333,60.58,50,0,8.55,AU,1627136091
165,itarema,-2.9248,-39.9167,87.66,45,62,14.23,BR,1627136091
166,nabire,-3.3667,135.4833,73.72,95,100,1.86,ID,1627136092
167,vryburg,-26.9566,24.7284,60.73,21,0,10.94,ZA,1627136092
168,nizhniy kuranakh,58.8353,125.4869,59.77,99,100,2.77,RU,1627136092
169,pisco,-13.7,-76.2167,62.65,72,90,4.61,PE,1627136093
170,wanning,18.8003,110.3967,80.37,88,85,8.88,CN,1627136093
171,shrewsbury,52.7101,-2.7521,73.31,70,99,10.2,GB,1627136093
172,payson,40.0444,-111.7321,79.39,52,40,1.99,US,1627136094
173,chicama,-7.8447,-79.1469,64.94,73,41,5.28,PE,1627136094
174,broome,42.2506,-75.833,74.17,69,1,1.01,US,1627136094
175,east london,-33.0153,27.9116,60.71,62,0,18.63,ZA,1627136058
176,sitka,57.0531,-135.33,55.29,88,90,0.0,US,1627136094
177,dikson,73.5069,80.5464,37.8,98,100,26.15,RU,1627136095
178,balkhash,46.844,74.9804,82.67,37,0,5.19,KZ,1627136095
179,lebu,-37.6167,-73.65,50.23,79,10,6.22,CL,1627136095
180,port macquarie,-31.4333,152.9167,51.76,75,4,6.24,AU,1627136096
181,kruisfontein,-34.0033,24.7314,60.89,36,0,9.57,ZA,1627136096
182,morro bay,35.3658,-120.8499,58.08,93,33,2.75,US,1627136096
183,lingao,19.9103,109.6859,81.63,84,98,5.44,CN,1627136097
184,alice springs,-23.7,133.8833,45.95,42,70,5.75,AU,1627135827
185,lethem,3.3803,-59.7968,84.7,67,77,4.79,GY,1627136097
186,joensuu,62.6012,29.7632,67.26,41,0,11.5,FI,1627136097
187,ziro,27.6333,93.8333,70.54,98,37,1.77,IN,1627136098
188,benghazi,32.1167,20.0667,81.95,60,0,14.32,LY,1627136098
189,mackay,-21.15,149.2,65.05,53,0,5.37,AU,1627136098
190,cabo san lucas,22.8909,-109.9124,85.8,68,0,3.0,MX,1627136099
191,rock sound,24.9,-76.2,81.73,74,92,10.29,BS,1627136099
192,adilabad,19.6667,78.5333,77.92,86,100,5.55,IN,1627136099
193,pella,59.7775,30.8181,72.55,33,17,6.73,RU,1627136099
194,dwarka,22.2394,68.9678,83.17,85,100,19.71,IN,1627136100
195,faya,18.3851,42.4509,79.32,39,94,8.41,SA,1627136100
196,wuda,39.4994,106.7117,88.27,37,60,18.97,CN,1627136100
197,mandalgovi,45.7625,106.2708,65.19,71,56,10.11,MN,1627136101
198,hirara,24.8,125.2833,84.47,78,99,22.12,JP,1627136101
199,luderitz,-26.6481,15.1594,69.53,31,5,4.63,NA,1627136101
200,thunder bay,48.4001,-89.3168,69.98,97,90,8.05,CA,1627136102
201,socorro,31.6546,-106.3033,76.03,76,40,3.44,US,1627136103
202,poum,-20.2333,164.0167,72.46,85,8,7.38,NC,1627136103
203,berlevag,70.8578,29.0864,45.54,83,100,28.1,NO,1627136104
204,flin flon,54.7682,-101.865,64.76,66,10,13.58,CA,1627136104
205,bosaso,11.2842,49.1816,91.71,46,100,13.96,SO,1627136104
206,tchollire,8.4022,14.1698,82.51,72,78,4.21,CM,1627136105
207,valparaiso,-33.0393,-71.6273,53.47,90,90,10.36,CL,1627136032
208,waipawa,-41.4122,175.5153,42.3,87,0,6.64,NZ,1627136105
209,praia,14.9215,-23.5087,82.94,47,20,18.41,CV,1627135872
210,ancud,-41.8697,-73.8203,46.22,80,100,6.02,CL,1627136105
211,presidente epitacio,-21.7633,-52.1156,80.49,24,0,12.66,BR,1627136106
212,te anau,-45.4167,167.7167,38.75,90,100,2.51,NZ,1627136106
213,alofi,-19.0595,-169.9187,77.18,82,87,16.22,NU,1627136107
214,sao felix do xingu,-6.6447,-51.995,88.11,30,97,5.75,BR,1627136107
215,narsaq,60.9167,-46.05,46.62,85,100,5.61,GL,1627136107
216,beira,-19.8436,34.8389,69.89,68,40,13.8,MZ,1627136108
217,linguere,15.3953,-15.1193,95.29,31,18,9.1,SN,1627136109
218,lompoc,34.6391,-120.4579,56.88,98,90,0.0,US,1627136109
219,komsomolskiy,40.4272,71.7189,102.92,12,0,2.3,UZ,1627136109
220,lata,40.1629,-8.3327,82.49,45,7,12.66,PT,1627136110
221,upernavik,72.7868,-56.1549,38.55,92,99,7.56,GL,1627136110
222,kirksville,40.1948,-92.5833,81.05,78,1,8.05,US,1627135894
223,nome,64.5011,-165.4064,46.47,87,90,6.91,US,1627136111
224,cap malheureux,-19.9842,57.6142,71.47,63,42,3.0,MU,1627136111
225,farmington,36.7281,-108.2187,71.78,70,1,3.44,US,1627136098
226,novopokrovka,49.8425,36.5477,84.29,40,91,6.42,UA,1627136111
227,provideniya,64.3833,-173.3,47.55,97,100,8.84,RU,1627136112
228,tiksi,71.6872,128.8694,41.47,91,100,6.76,RU,1627136112
229,jidong,45.2167,131.0833,72.75,84,97,3.83,CN,1627136112
230,san quintin,30.4833,-115.95,67.87,88,100,6.04,MX,1627136113
231,upata,8.0086,-62.3989,81.19,74,66,7.25,VE,1627136113
232,aswan,24.0934,32.907,104.77,13,0,18.07,EG,1627136114
233,ponta do sol,32.6667,-17.1,83.71,64,0,3.47,PT,1627136115
234,kiama,-34.6833,150.8667,56.44,64,98,5.01,AU,1627136115
235,gafanha da encarnacao,40.6181,-8.733,77.27,71,19,7.0,PT,1627136115
236,arraial do cabo,-22.9661,-42.0278,75.06,57,0,17.27,BR,1627136116
237,thaba-tseka,-29.522,28.6084,46.56,10,0,3.18,LS,1627136116
238,tura,25.5198,90.2201,76.46,93,8,5.66,IN,1627136117
239,fortuna,40.5982,-124.1573,50.67,69,0,2.55,US,1627136117
