,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
370,brae,60.3964,-1.353,55.31,76,100,6.44,GB,1627136152
371,jinchang,38.4953,102.1739,82.63,33,93,21.59,CN,1627136152
372,lazaro cardenas,17.9583,-102.2,79.56,84,95,3.24,MX,1627136153
373,juneau,58.3019,-134.4197,55.85,97,90,11.5,US,1627136049
374,nemuro,43.3236,145.575,62.04,96,37,9.84,JP,1627136153
375,bambanglipuro,-7.95,110.2833,76.3,79,0,8.46,ID,1627136153
376,saint-ambroise,48.5501,-71.3324,72.09,51,5,2.08,CA,1627136153
377,el alto,-4.2714,-81.2147,69.46,78,28,6.46,PE,1627136154
378,borogontsy,62.6683,131.1683,58.86,98,100,3.58,RU,1627136154
379,rochester,43.1548,-77.6156,77.41,66,75,1.01,US,1627135914
380,kiunga,-6.1219,141.2906,72.45,100,100,1.52,PG,1627136155
381,narragansett,41.4501,-71.4495,77.94,65,1,1.99,US,1627136156
382,salalah,17.0151,54.0924,78.89,94,90,10.36,OM,1627136156
383,borodino,55.9106,94.8983,67.84,69,36,10.36,RU,1627136157
384,aligudarz,33.4006,49.6949,92.71,12,87,7.31,IR,1627136157
385,constantine,36.365,6.6147,107.01,10,20,5.75,DZ,1627136157
386,tiznit,29.5833,-9.5,100.17,16,96,1.9,MA,1627136157
387,ailigandi,9.2333,-78.0167,80.85,83,100,1.43,PA,1627136158
388,pirgos,35.1167,25.7178,82.08,46,0,21.21,GR,1627136158
389,tashtagol,52.7657,87.8894,65.8,94,89,3.36,RU,1627135869
390,yining,29.0361,114.5636,74.7,95,4,3.62,CN,1627136158
391,emerald,-23.5333,148.1667,60.98,32,0,10.42,AU,1627136159
392,chunoyar,57.4467,97.3217,69.6,62,48,4.47,RU,1627136159
393,saint-augustin,51.226,-58.6502,55.42,73,89,7.81,CA,1627136159
394,antalya,36.7741,30.7178,99.01,43,40,12.66,TR,1627136160
395,vila franca do campo,37.7167,-25.4333,73.81,74,38,6.98,PT,1627136160
396,puerto narino,-3.7703,-70.3831,76.64,78,100,1.39,CO,1627136160
397,chekhov,55.1431,37.4711,71.55,40,95,6.89,RU,1627136161
398,inuvik,68.3499,-133.7218,58.06,70,75,6.91,CA,1627136161
399,straumen,63.8709,11.2999,69.85,61,100,1.23,NO,1627136161
400,arman,59.7,150.1667,51.98,95,100,3.98,RU,1627136162
401,sept-iles,50.2001,-66.3821,63.25,88,75,4.0,CA,1627136162
402,bure,10.7,37.0667,60.17,93,100,4.43,ET,1627136162
403,teya,60.3778,92.6267,70.83,59,90,2.68,RU,1627136162
404,cockburn town,21.4612,-71.1419,82.06,77,2,14.81,TC,1627136163
405,zhigansk,66.7697,123.3711,58.95,71,5,14.45,RU,1627136163
406,coahuayana,18.7333,-103.6833,81.88,91,96,2.24,MX,1627136163
407,singaparna,-7.3515,108.111,71.22,92,67,2.04,ID,1627136164
408,front royal,38.9182,-78.1944,78.44,69,90,0.0,US,1627135922
409,port hedland,-20.3167,118.5667,66.25,63,8,8.05,AU,1627136164
410,uige,-7.6087,15.0613,92.21,12,0,5.06,AO,1627136164
411,verkhoyansk,67.5447,133.385,65.75,57,100,7.23,RU,1627136165
412,wilmington,34.2257,-77.9447,83.91,66,1,8.05,US,1627135564
413,kadrina,59.3347,26.145,69.87,38,42,6.44,EE,1627136165
414,ostrovnoy,68.0531,39.5131,47.41,83,100,25.14,RU,1627136165
415,vysokogornyy,50.1167,139.15,68.61,91,15,3.09,RU,1627135930
416,grand-santi,4.25,-54.3833,85.82,59,47,5.73,GF,1627136166
417,carmo do paranaiba,-19.0008,-46.3161,66.76,54,0,11.65,BR,1627136166
418,iralaya,15.0,-83.2333,82.08,77,100,11.39,HN,1627136166
419,taiyuan,37.8694,112.5603,76.86,65,75,4.47,CN,1627136166
420,preobrazheniye,42.9019,133.9064,74.07,91,0,7.02,RU,1627136167
421,chunskiy,56.0815,99.6342,66.42,63,0,3.98,RU,1627136167
422,yacuiba,-22.038,-63.6797,77.32,36,2,2.86,BO,1627136167
423,marienburg,54.0359,19.0266,79.84,53,15,7.81,PL,1627136168
424,emba,48.8264,58.1442,84.96,38,56,16.4,KZ,1627136168
425,leh,34.1667,77.5833,76.55,28,75,6.76,IN,1627136168
426,pafos,34.7667,32.4167,94.23,70,20,10.36,CY,1627136169
427,manicore,-5.8092,-61.3003,85.95,70,0,2.3,BR,1627136169
428,praia da vitoria,38.7333,-27.0667,79.05,69,20,14.45,PT,1627136169
429,savinka,50.0785,47.0994,82.18,29,48,18.75,RU,1627136169
430,ampanihy,-24.7,44.75,64.27,56,97,13.85,MG,1627136170
431,nishihara,26.1842,127.7558,82.06,95,90,20.71,JP,1627136170
432,lodja,-3.4833,23.4333,95.86,18,12,5.7,CD,1627135928
433,angoram,-4.0625,144.0661,72.75,99,87,2.15,PG,1627136170
434,goderich,43.7501,-81.7165,71.91,78,94,9.22,CA,1627136171
435,nouadhibou,20.931,-17.0347,75.18,78,20,16.11,MR,1627136171
436,vilhena,-12.7406,-60.1458,84.42,39,0,14.97,BR,1627136171
437,mendoza,-32.8908,-68.8272,47.73,53,40,4.61,AR,1627136172
438,cherskiy,68.75,161.3,37.98,88,64,5.7,RU,1627136172
439,panguna,-6.3164,155.4848,68.18,96,72,1.7,PG,1627136172
440,san borja,-14.8167,-66.85,81.81,46,0,3.87,BO,1627136173
441,awbari,26.5921,12.7805,96.28,13,0,11.79,LY,1627135930
442,najran,17.4924,44.1277,93.85,23,24,17.02,SA,1627136173
443,northam,51.0333,-4.2167,71.02,85,95,14.58,GB,1627136173
444,eirunepe,-6.6603,-69.8736,84.99,47,19,1.72,BR,1627136174
445,quelimane,-17.8786,36.8883,71.02,48,70,10.63,MZ,1627135962
446,antofagasta,-23.65,-70.4,60.08,76,94,4.52,CL,1627136174
447,visby,57.6409,18.296,75.85,46,8,11.5,SE,1627136174
448,zilair,52.2332,57.4392,72.9,40,100,8.61,RU,1627136175
449,itaqui,-29.1253,-56.5531,72.82,53,1,15.21,BR,1627136175
450,wonthaggi,-38.6044,145.5913,48.7,76,100,23.6,AU,1627136175
451,vinkovci,45.2883,18.8047,91.26,39,0,5.75,HR,1627136175
452,vung tau,10.346,107.0843,82.36,80,100,17.56,VN,1627136176
453,leningradskiy,69.3833,178.4167,36.32,94,100,2.19,RU,1627136176
454,roald,62.5833,6.1333,81.1,88,75,5.75,NO,1627136177
455,jahazpur,25.6167,75.2833,90.84,58,100,2.82,IN,1627136177
456,kutum,14.2,24.6667,88.65,34,81,9.17,SD,1627136177
457,tariba,7.8188,-72.2243,77.56,62,100,3.42,VE,1627136108
458,hasaki,35.7333,140.8333,77.4,82,0,5.64,JP,1627136178
459,ca mau,9.1769,105.15,79.75,86,94,8.5,VN,1627135973
460,trebinje,42.7119,18.3442,83.75,54,0,9.22,BA,1627135914
461,maues,-3.3836,-57.7186,88.5,46,87,4.34,BR,1627136178
462,buribay,51.9617,58.1592,73.87,59,100,4.65,RU,1627136178
463,price,39.5994,-110.8107,70.86,46,1,0.0,US,1627136179
464,puerto escondido,15.85,-97.0667,79.63,78,1,0.0,MX,1627136179
465,alyangula,-13.8483,136.4192,72.97,86,95,10.16,AU,1627136179
466,oromocto,45.8351,-66.4792,74.25,70,1,5.75,CA,1627136180
467,siavonga,-16.5382,28.7088,75.33,40,84,4.34,ZM,1627136180
468,sinnamary,5.3833,-52.95,83.35,71,97,11.21,GF,1627136180
469,jasper,37.2001,-94.3502,83.01,76,3,1.99,US,1627136114
470,tingi,-11.3,35.0333,62.94,63,64,6.62,TZ,1627136181
471,bambous virieux,-20.3428,57.7575,71.85,68,40,5.75,MU,1627136181
472,matagami,49.7502,-77.6328,68.11,64,1,13.8,CA,1627136181
473,tashla,51.7716,52.7427,81.9,25,3,8.52,RU,1627136182
474,folldal,62.1325,9.9968,73.6,40,81,3.18,NO,1627136182
475,rincon,32.296,-81.2354,83.86,80,20,5.75,US,1627136182
476,ilo,-17.6394,-71.3375,61.66,77,75,6.91,PE,1627136182
477,lagos,6.5833,3.75,83.03,60,64,9.8,NG,1627135896
478,amritsar,31.6331,74.8656,93.15,62,40,0.0,IN,1627136183
479,miri,4.4148,114.0089,81.63,84,8,5.06,MY,1627136090
480,along,28.1667,94.7667,77.97,98,54,1.05,IN,1627136183
481,vestmanna,62.1564,-7.1664,50.92,100,90,8.05,FO,1627136183
482,honiara,-9.4333,159.95,77.59,88,100,4.9,SB,1627136184
483,kirakira,-10.4544,161.9205,79.2,86,65,6.35,SB,1627136184
484,caravelas,-17.7125,-39.2481,78.17,50,45,9.95,BR,1627136184
485,vanavara,60.34,102.2797,68.43,67,3,3.98,RU,1627136185
486,tual,-5.6667,132.75,79.74,81,100,13.42,ID,1627136185
487,eunice,30.4944,-92.4176,85.95,86,84,7.87,US,1627136185
488,port hardy,50.6996,-127.4199,57.38,100,90,0.0,CA,1627136186
489,rohnert park,38.3396,-122.7011,65.01,85,90,1.99,US,1627136176
490,sebeta,8.9167,38.6167,62.13,79,100,11.65,ET,1627136186
491,shizunai,42.3339,142.3669,69.46,97,31,5.35,JP,1627136186
492,sao joao da barra,-21.6403,-41.0511,75.29,60,56,7.92,BR,1627136187
493,bengkulu,-3.8004,102.2655,78.91,82,4,7.52,ID,1627136187
494,takoradi,4.8845,-1.7554,79.18,66,92,9.31,GH,1627136187
495,zhangjiakou,40.81,114.8794,74.91,78,82,7.29,CN,1627136188
496,belaya gora,68.5333,146.4167,49.62,63,13,12.93,RU,1627136188
497,formosa do rio preto,-11.0483,-45.1931,81.66,36,72,9.8,BR,1627136189
498,severodvinsk,64.5635,39.8302,55.51,68,100,13.69,RU,1627136189
499,coquimbo,-29.9533,-71.3436,51.53,100,90,6.91,CL,1627136189
500,hervey bay,-25.2986,152.8535,55.04,57,0,9.86,AU,1627136095
501,ofaqim,31.3141,34.6203,85.71,47,0,13.62,IL,1627136189
502,umarkot,25.3616,69.7362,92.17,54,15,15.35,PK,1627136190
503,axim,4.8699,-2.2405,79.7,66,90,9.4,GH,1627136176
504,aksu,41.1231,80.2644,90.84,23,0,4.38,CN,1627136190
505,gat,31.61,34.7642,87.4,32,2,12.57,IL,1627135921
506,rosarito,32.3333,-117.0333,68.92,84,100,5.08,MX,1627136191
507,worland,44.0169,-107.9554,75.2,52,1,0.0,US,1627136191
508,half moon bay,37.4636,-122.4286,62.06,90,90,1.01,US,1627136115
509,portobelo,9.55,-79.65,76.86,85,100,2.1,PA,1627136191
510,riohacha,11.5444,-72.9072,85.89,64,100,11.43,CO,1627136192
511,qandala,11.472,49.8728,88.99,56,90,7.36,SO,1627136192
512,moron,-34.6534,-58.6198,58.8,82,100,11.01,AR,1627136192
513,barcelos,41.5388,-8.6151,76.84,60,55,9.71,PT,1627136124
514,virginia beach,36.8529,-75.978,82.47,58,20,0.0,US,1627136193
515,wattegama,6.7989,81.4808,81.73,66,98,13.53,LK,1627136193
516,pentecoste,-3.7928,-39.2703,84.67,31,40,12.21,BR,1627136193
517,minna,9.6139,6.5569,80.31,74,75,9.22,NG,1627136194
518,kununurra,-15.7667,128.7333,66.18,72,100,3.44,AU,1627136194
519,port hawkesbury,45.6169,-61.3485,64.9,79,75,8.99,CA,1627136194
520,guatire,10.4762,-66.5427,84.2,90,99,2.62,VE,1627136195
521,porto novo,6.4965,2.6036,84.02,59,76,12.39,BJ,1627136195
522,berea,41.3662,-81.8543,72.23,85,90,1.01,US,1627136195
523,marsa matruh,31.3525,27.2453,82.15,55,0,21.81,EG,1627136196
524,benjamin aceval,-24.9667,-57.5667,80.74,30,0,10.29,PY,1627136196
525,plateros,23.2167,-102.85,62.62,79,96,2.06,MX,1627136196
526,cururupu,-1.8283,-44.8683,84.0,67,36,7.23,BR,1627136196
527,phan thiet,10.9333,108.1,79.47,79,83,8.88,VN,1627136197
528,novyy starodub,48.5158,33.1733,82.74,39,71,10.02,UA,1627136197
529,aykhal,66.0,111.5,58.78,59,100,3.22,RU,1627136197
530,memmingen,47.9837,10.1853,81.43,61,0,9.22,DE,1627136198
531,camargo,27.6667,-105.1667,74.55,53,92,5.12,MX,1627136198
532,mitsamiouli,-11.3847,43.2844,76.57,72,46,27.58,KM,1627136198
533,bella union,-30.2752,-57.6007,70.52,58,69,11.74,UY,1627136198
534,bumba,2.1833,22.4667,86.0,49,98,3.78,CD,1627136166
535,necochea,-38.5473,-58.7368,51.04,57,98,15.1,AR,1627136199
536,uinskoye,56.8817,56.5813,62.92,82,79,5.12,RU,1627136199
537,chapleau,47.8405,-83.4034,68.09,94,90,10.36,CA,1627136199
